Retailer,Retailer ID,Invoice Date,Region,State,City,Product, Price per Unit ,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1200,60000,30000,In-store
Foot Locker,1185732,02-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,50000,15000,In-store
Foot Locker,1185732,03-01-2020,Northeast,New York,New York,Women's Street Footwear,40,1000,40000,14000,In-store
Foot Locker,1185732,04-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,38250,13387.5,In-store
Foot Locker,1185732,05-01-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,In-store
Foot Locker,1185732,06-01-2020,Northeast,New York,New York,Women's Apparel,50,1000,50000,12500,In-store
Foot Locker,1185732,07-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1250,62500,31250,In-store
Foot Locker,1185732,08-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,13500,Outlet
Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,40,950,38000,13300,Outlet
Foot Locker,1185732,22-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,12993.75,Outlet
Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,Outlet
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,50,1000,50000,12500,Outlet
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1220,61000,30500,Outlet
Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,46250,13875,Outlet
Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,40,950,38000,13300,Outlet
Foot Locker,1185732,28-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,36000,12600,Outlet
Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,0,850,51000,15300,Outlet
Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,50,950,47500,11875,Outlet
Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,50,1200,60000,30000,Outlet
Foot Locker,1185732,01-02-2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,13500,Outlet
Foot Locker,1185732,02-02-2020,Northeast,New York,New York,Women's Street Footwear,40,900,36000,12600,Outlet
Foot Locker,1185732,03-02-2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,12993.75,Outlet
Foot Locker,1185732,04-02-2020,Northeast,New York,New York,Men's Apparel,60,825,49500,14850,Outlet
